state,combined_name,company_name,ticker,product_type,product_units,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,jul_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021
TX,"Terlingua Operating, Llc (Private)","Terlingua Operating, Llc",Private,equivalent co2 released,metric tons,,,,,33.5,,,,,,,,,,,,,,,,,,,,,
TX,"Terra Resources, Inc. (Private)","Terra Resources, Inc.",Private,flared gas,Mcf,,,,,,,1110.0,1120.0,,,,,,,,,,,,,,,,,,
TX,"Terra Resources, Inc. (Private)","Terra Resources, Inc.",Private,equivalent co2 released,metric tons,,,,,,,60.8,61.4,,,,,,,,,,,,,,,,,,
TX,"Texas Presco, Inc. (Private)","Texas Presco, Inc.",Private,flared gas,Mcf,1228.0,1109.0,1247.0,1093.0,1085.0,1039.0,1124.0,1147.0,981.0,1019.0,954.0,1078.0,1078.0,1025.0,978.0,1040.0,925.0,880.0,874.0,959.0,907.0,1047.0,490.0,872.0,,
TX,"Texas Presco, Inc. (Private)","Texas Presco, Inc.",Private,equivalent co2 released,metric tons,67.3,60.8,68.3,59.9,59.5,56.9,61.6,62.9,53.8,55.8,52.3,59.1,59.1,56.2,53.6,57.0,50.7,48.2,47.9,52.6,49.7,57.4,26.9,47.8,,
TX,"Texian Operating Company, Llc (Private)","Texian Operating Company, Llc",Private,flared gas,Mcf,,88.0,103.0,112.0,,120.0,,105.0,116.0,120.0,120.0,105.0,,,,,,,,,,,,,,
TX,"Texian Operating Company, Llc (Private)","Texian Operating Company, Llc",Private,equivalent co2 released,metric tons,,4.8,5.6,6.1,,6.6,,5.8,6.4,6.6,6.6,5.8,,,,,,,,,,,,,,
TX,Thp Operating Llc (Private),Thp Operating Llc,Private,flared gas,Mcf,300.0,350.0,400.0,400.0,125.0,200.0,200.0,200.0,200.0,175.0,200.0,200.0,200.0,210.0,220.0,310.0,620.0,480.0,570.0,350.0,100.0,100.0,,,,
TX,Thp Operating Llc (Private),Thp Operating Llc,Private,equivalent co2 released,metric tons,16.4,19.2,21.9,21.9,6.9,11.0,11.0,11.0,11.0,9.6,11.0,11.0,11.0,11.5,12.1,17.0,34.0,26.3,31.2,19.2,5.5,5.5,,,,
TX,"Three Span Oil & Gas, Inc. (Private)","Three Span Oil & Gas, Inc.",Private,flared gas,Mcf,,,,,,,,,,,,,,56174.0,57491.0,58507.0,65023.0,65666.0,79725.0,88463.0,9330.0,4236.0,3113.0,2641.0,,
TX,"Three Span Oil & Gas, Inc. (Private)","Three Span Oil & Gas, Inc.",Private,equivalent co2 released,metric tons,,,,,,,,,,,,,,3078.3,3150.5,3206.2,3563.3,3598.5,4368.9,4847.8,511.3,232.1,170.6,144.7,,
TX,"Thresher Energy, Inc. (Private)","Thresher Energy, Inc.",Private,flared gas,Mcf,993.0,757.0,576.0,607.0,643.0,564.0,520.0,537.0,513.0,465.0,447.0,381.0,303.0,420.0,566.0,490.0,,,,,,,,,,
TX,"Thresher Energy, Inc. (Private)","Thresher Energy, Inc.",Private,equivalent co2 released,metric tons,54.4,41.5,31.6,33.3,35.2,30.9,28.5,29.4,28.1,25.5,24.5,20.9,16.6,23.0,31.0,26.9,,,,,,,,,,
